Birth City,Number of Games,Total Points,Three Points,Field Goals,Total Rebounds
Abbeville,51,8.6,0.0,0.389,189.0
Aberdeen,249,3.5,0.0,0.4425,767.5
Akron,2472,14.183333333333332,0.19619999999999999,0.5335000000000001,2452.0
Alamogordo,12,1.7,0.16699999999999998,0.3,8.0
Albany,313,3.5749999999999997,0.26799999999999996,0.39425000000000004,156.5
Alexandria,1502,5.666666666666667,0.289,0.4306666666666666,1498.6666666666667
Aliquippa,658,24.2,0.667,0.441,2747.0
Allentown,45,1.9,0.385,0.33299999999999996,25.0
Altoona,1318,9.333333333333334,0.28200000000000003,0.466,1152.0
American Falls,212,2.6,0.0,0.48200000000000004,526.0
Ames,352,8.799999999999999,0.2855,0.3975,796.0
Anchorage,580,8.9,0.358,0.42100000000000004,1428.0
Andalusia,1107,7.0,0.341,0.425,5269.0
Anderson,1717,10.266666666666667,0.10399999999999998,0.48866666666666664,3399.0
Angola,868,12.8,0.261,0.48,5806.0
Ann Arbor,859,6.9,0.27649999999999997,0.4885,2116.5
Anniston,667,4.5,0.298,0.447,1045.0
Antioch,3,2.0,1.0,0.5,1.0
Ark City,673,11.6,0.149,0.444,1601.0
Arlington,14,1.6,0.222,0.267,17.0
Arlington Heights,891,8.5,0.18899999999999997,0.484,5262.0
Asheville,249,10.0,0.368,0.431,506.0
Athens,486,3.8,0.355,0.401,1428.0
Atlanta,10105,7.024137931034486,0.19933333333333333,0.4157931034482758,1508.7586206896551
Atlantic City,928,4.366666666666666,0.3193333333333333,0.36999999999999994,847.0
Auburn,532,9.6,0.257,0.47200000000000003,3006.0
Augusta,2189,4.75,0.19499999999999998,0.4183333333333333,2190.1666666666665
Aurora,390,3.0250000000000004,0.171,0.4105,156.0
Bakersfield,1372,5.84,0.2803333333333333,0.449,1186.4
Baltimore,8637,6.090909090909092,0.21160000000000004,0.40948484848484845,844.5151515151515
Bangor,612,6.0,0.344,0.467,2036.0
Barberton,779,14.0,0.295,0.47700000000000004,4066.0
Bartlesville,722,15.2,0.402,0.47200000000000003,1848.0
Bartow,991,11.200000000000001,0.3565,0.385,2716.5
Bastrop,2,1.5,,0.5,4.0
Batavia,1218,20.4,0.204,0.499,11133.0
Baton Rouge,4023,6.046666666666668,0.24607142857142858,0.4025714285714285,961.8
Battle Creek,7,3.3,,0.36,23.0
Battle Ground,140,3.6,0.35600000000000004,0.41100000000000003,164.0
Baxley,13,2.1,0.33299999999999996,0.35700000000000004,16.0
Bay City,183,6.7,0.298,0.43200000000000005,271.0
Bayshore,332,17.4,0.158,0.564,3378.0
Bayville,731,10.0,0.324,0.519,3410.0
Beaufort,126,3.3,0.2,0.401,141.0
Beaumont,58,1.4,,0.337,168.0
Beckley,66,2.6,0.265,0.361,70.0
Bedford,89,13.3,0.344,0.512,543.0
Belle,788,10.5,0.327,0.39799999999999996,1810.0
Belleville,477,5.75,0.084,0.4655,1112.0
Bellflower,478,5.1000000000000005,0.18999999999999997,0.383,589.3333333333334
Bellingham,120,6.2,0.0,0.447,227.0
Bellport,976,16.7,0.155,0.47,3597.0
Bells,143,9.0,0.0,0.473,500.0
Bellwood,169,13.3,0.354,0.385,881.0
Benton Harbor,292,2.4,0.233,0.4386666666666667,196.66666666666666
Berkeley,2362,12.149999999999999,0.23125,0.46675,2328.5
Bernardston,19,1.6,0.35700000000000004,0.297,8.0
Bernice,851,16.0,0.091,0.513,3696.0
Bethlehem,57,3.2,0.364,0.39399999999999996,65.0
Billings,93,3.2,0.19,0.40299999999999997,59.0
Biloxi,328,5.8,0.369,0.398,333.0
Birmingham,6356,6.204761904761904,0.160875,0.47866666666666663,1309.5714285714287
Black Mountain,548,19.0,0.14300000000000002,0.532,5227.0
Bloomington,823,3.575,0.25475000000000003,0.382,694.0
Blytheville,56,3.2,0.0,0.41200000000000003,82.0
Bossier City,89,4.5,0.373,0.384,167.0
Boston,2877,4.839999999999999,0.2111111111111111,0.33949999999999997,1437.1
Boulder,526,5.4,0.1965,0.45549999999999996,1055.0
Bowbells,52,1.0,0.0,0.33299999999999996,67.0
Bowling Green,666,14.6,0.35,0.43,1645.0
Boynton Beach,1257,14.0,0.047,0.546,10370.0
Bradenton,212,4.15,0.091,0.51,481.0
Brandon,217,2.7,0.125,0.40399999999999997,536.0
Brantley,943,14.7,0.36200000000000004,0.45799999999999996,4763.0
Bremerton,854,5.95,0.177,0.4065,2150.5
Bridgeport,1673,8.24,0.285,0.4558000000000001,1150.4
Bristol,15,1.9,,0.27,23.0
