name,Average of FGA,Average of 3P%,Average of TRB,Average of BLK,Average of PTS
A.C. Green,324,0,313,8,367
A.J. Guyton,146.6666667,0.255,26.66666667,4,147.3333333
A.J. Hammons,42,0.5,36,13,48
A.J. Price,240.6666667,0.300166667,62.83333333,1.5,253.8333333
Aaron Brooks,547.8,0.3625,107.9,8.7,625.9
Aaron Gordon,611.4,0.3098,370.2,38.2,729.2
Aaron Gray,123.4285714,0,170,12.42857143,152.2857143
Aaron Harrison,30.66666667,0.169666667,14,0.666666667,26.33333333
Aaron Holiday,118,0.271,40,10,139
Aaron Jackson,9,0.25,3,0,8
Aaron McKie,374,0.299833333,188,10.14285714,436.5714286
Aaron Miles,18,,14,1,16
Aaron Williams,277.125,0.0666,242.625,43.75,352.375
Abdel Nader,111.5,0.3885,53.5,6,119.5
Acie Law,159.25,0.249,48.75,1,181.25
Adam Harrington,37,0.357,8,1,30
Adam Keefe,159,0.333,209,20,168
Adam Morrison,417.3333333,0.302666667,114,4,400
Adonal Foyle,232.7777778,0,295.4444444,106.8888889,252.7777778
Adonis Thomas,14,0.2,3,0,14
Adreian Payne,107.25,0.31475,78.75,6.75,107.25
Adrian Griffin,172.625,0.230571429,142.5,5.5,179.25
Al Harrington,785.5714286,0.314642857,377.4285714,16.78571429,918.8571429
Al Horford,709,0.345583333,529.1666667,75.5,879.9166667
Al Jefferson,881.7142857,0.080666667,549.2857143,78.07142857,1024.5
Al Thornton,757.25,0.27325,308.25,38,881.75
Alan Anderson,260.5,0.339875,89.25,3.875,302.625
Alan Henderson,216.1428571,0.25,216.2857143,19.85714286,264.1428571
Alan Williams,78.25,0,90,9.5,100.75
Alando Tucker,60.66666667,0.247,16.33333333,0.666666667,70.33333333
Alec Burks,404.125,0.35925,152.875,8.75,495.25
Alec Peters,74,0.31,37,2,82
Aleksandar Radojevic,19,,28,2,19
Alex Abrines,261.6666667,0.361333333,82.33333333,7.333333333,307
Alex Acker,46,0.275,14.5,2,40.5
Alex Caruso,58,0.302,33,5,67
Alex Garcia,29.5,0.278,7.5,0.5,23.5
Alex Kirk,4,,1,0,4
Alex Len,371,0.2694,400.8333333,64,473.5
Alex Poythress,48.33333333,0.356333333,35,3.666666667,59.33333333
Alex Stepheson,27,,28,5,22
Alexander Johnson,147,,137.5,22.5,219.5
Alexey Shved,402.3333333,0.309,118.3333333,16.33333333,449.6666667
Alexis Ajinca,183.2857143,0.0706,164.2857143,25.85714286,221.8571429
Al-Farouq Aminu,466.5555556,0.306333333,426.6666667,40.55555556,537.3333333
Alfonzo McKinnie,84,0.351,70.5,4.5,101.5
Alize Johnson,8,1,7,1,6
Allan Houston,992,0.3978,182,6.2,1206.4
Allan Ray,259,0.414,69,3,290
Allen Crabbe,431,0.397333333,157.5,15.83333333,522.1666667
Allen Iverson,1420.6,0.3108,228.3,10.3,1755
Allonzo Trier,278,0.362,100,13,348
Alonzo Gee,288.625,0.341125,170,12.625,344.25
Alonzo Mourning,303.5714286,0.111,251.4285714,98.57142857,436
Alton Ford,46,,41.33333333,2.666666667,62
Alvin Jones,20,,36,9,26
Alvin Williams,524,0.208,148.6666667,13.83333333,549.5
Amal McCaskill,61,0,63.66666667,10.33333333,58.66666667
Amar'e Stoudemire,786.3571429,0.183454545,473.7142857,75.28571429,1142.428571
Amile Jefferson,1,,1,0,2
Amir Johnson,316.0714286,0.290583333,330.6428571,59.5,430.2857143
Anderson Varejao,271.8461538,0.016666667,347,31.15384615,350.8461538
Andray Blatche,553.4444444,0.229444444,336,50.88888889,634
Andre Barrett,60.25,0.248333333,17.75,0.25,54.75
Andre Brown,53,0,59.33333333,2.666666667,65.66666667
Andre Dawkins,6,0.167,2,0,3
Andre Drummond,787.8571429,0.178857143,974.4285714,111.2857143,999.2857143
Andre Emmett,6.5,0,4,0.5,10
Andre Iguodala,684,0.336666667,367.8,35.4,884.6666667
Andre Ingram,17,0.556,6,3,24
Andre Miller,771.8125,0.2213125,282.1875,13.125,960.25
Andre Owens,90.5,0.319,34,1.5,96
Andre Roberson,233.6,0.2358,237.6,39,271.2
Andrea Bargnani,667.6,0.3281,254.1,47,787.3
Andreas Glyniadakis,17,,8,0,17
Andrei Kirilenko,510.5384615,0.29475,334.7692308,112.3846154,725.4615385
Andres Nocioni,559.75,0.338,286.875,28.5,676.875
Andrew Bogut,426.8461538,0.244444444,465.9230769,83.30769231,520.6923077
Andrew Bynum,430.75,0.066666667,402.625,82.125,602.75
Andrew DeClercq,165,,213,25,205.4
Andrew Goudelock,65.33333333,0.242,11.33333333,0.666666667,65.66666667
Andrew Harrison,280.6666667,0.269,95.66666667,16.33333333,337.3333333
Andrew Nicholson,303.4,0.29425,171.4,19,340
Andrew White,73,0.367,34,1,69
Andrew Wiggins,1188.6,0.3282,303.8,40,1431.4
Andris Biedrins,240.9,0,363.1,58,324.7
Andy Rautins,7,0.25,1,0,8
Anfernee Hardaway,364.7142857,0.283428571,149.5714286,11.85714286,378.7142857
Anfernee Simons,21,0,7,0,15
Ansu Sesay,92.75,0.268,55.75,7.5,100.25
Antawn Jamison,1133.857143,0.336642857,535.5,27.85714286,1339.428571
Ante Zizic,82,,81.5,10.5,123.5
Anthony Bennett,160.25,0.2585,118,6.75,164.5
Anthony Brown,59,0.515,34.33333333,2,53.66666667
Anthony Carter,211.1666667,0.17,91.91666667,9.166666667,209.25
Anthony Davis,1115.285714,0.228,679.1428571,155.2857143,1536.142857
Anthony Goldwire,54,0.2496,17,0,59.6
Anthony Grundy,38,0.333,17,0,52
Anthony Johnson,313.3,0.3467,106.1,7.5,346
Anthony Mason,657.6666667,0.5,610.6666667,19.66666667,847.6666667
Anthony Miller,2.5,,1.5,0,3
Anthony Morrow,486.6666667,0.407666667,135,8.333333333,591.8888889
Anthony Parker,603.8333333,0.404,253.5,13,724.5
Anthony Peeler,504.6,0.412,171.4,10.8,548.4
Anthony Randolph,249,0.124166667,179.6666667,37.33333333,298.1666667
Anthony Roberson,85,0.401,16.33333333,0.333333333,88.33333333
Anthony Tolliver,288.7272727,0.353727273,193.7272727,17.36363636,366.7272727
Antoine Rigaudeau,35,0.2,8,0,17
Antoine Walker,1176.25,0.322875,537.875,37,1238.5
Antoine Wright,249.8333333,0.2195,113.5,12,269
Antonio Anderson,3,,1,0,2
Antonio Blakeney,205.5,0.368,47.5,3.5,223
Antonio Burks,102,0.22,24.5,0.5,93
Antonio Daniels,403.4,0.2786,133,6.4,540.4
Antonio Davis,623.1666667,0,545.1666667,68.66666667,724.1666667
Antonio Harvey,15,,9.666666667,4.333333333,14.66666667
Antonio McDyess,510.3,0,469.4,47.3,601.8
Antonis Fotsis,104,0.304,62,11,108
Antonius Cleveland,21,0.75,14,5,23
Archie Goodwin,214,0.24925,82.75,9.5,260
Arinze Onuaku,7.666666667,,11.66666667,1.333333333,11.33333333
Armon Johnson,72,0.375,24.5,0.5,78.5
Arnett Moultrie,86,,90,7,105
Aron Baynes,248.4285714,0.1434,250.2857143,26.57142857,309
Arron Afflalo,603,0.375,197.8181818,12.81818182,745.2727273
Art Long,107.6666667,0.667,106.3333333,14,115
Arvydas Macijauskas,41,0.25,10,0,44
Arvydas Sabonis,438.5,0.2835,333,55.5,546
Austin Croshere,316.1111111,0.342333333,227,15.88888889,385.7777778
Austin Daye,235,0.332666667,127.3333333,19.5,253.6666667
Austin Rivers,532.2857143,0.345428571,132,11.28571429,599.2857143
Avery Bradley,611.1111111,0.321666667,162.8888889,12.11111111,659.6666667
Avery Johnson,270.25,0.04175,54.5,4.25,303.25
Awvee Storey,46.66666667,0.309666667,27,0.666666667,47.66666667
Axel Toupane,39.5,0.2875,16,3.5,43.5
Bam Adebayo,284.5,0.0625,334,38,404.5
Baron Davis,959.8333333,0.32025,251.5,28.41666667,1080.083333
Ben Bentil,3,0,2,0,0
Ben Gordon,826.5454545,0.386272727,168.2727273,10.36363636,1007.636364
Ben Handlogten,65,0,60,4.5,81.5
Ben Hansbrough,45,0.261,18,2,57
Ben McLemore,469,0.362166667,151.1666667,11.66666667,538.1666667
Ben Moore,0,,1,0,0
Ben Simmons,753.5,0,537.5,52,1006.5
Ben Uzoh,121.5,0.1875,64,5.5,119.5
Ben Wallace,389.8333333,0.145727273,754.25,152.8333333,445.3333333
Beno Udrih,455.5384615,0.345769231,131.6923077,5.461538462,534.7692308
Bernard James,51,0,70.66666667,20.33333333,67.66666667
Bernard Robinson,169.3333333,0.156666667,105,5.333333333,192
Bill Curley,47,0.5,37,9,63
Billy Owens,230,0.15,205,12,198
Billy Thomas,50.33333333,0.295666667,17.33333333,0.666666667,48
Bimbo Coles,146.75,0.181333333,43,3.5,140.75
Bismack Biyombo,248.25,0,436.25,97.5,339.875
Blake Ahearn,25.66666667,0.338666667,7.333333333,0,29.33333333
Blake Griffin,1029.666667,0.293666667,575.4444444,33.88888889,1375
Bo Outlaw,175.375,0.25,241.125,50,238
