PLAYER_ID,PERSON_ID,FIRST_NAME,LAST_NAME,FULL_NAME,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,IS_ACTIVE,affiliation_state,affiliation_country,PLAYER_NAME,TimeFrame,PTS,AST,REB,ALL_STAR_APPEARANCES
76001,76001,Alaa,Abdelnaby,Alaa Abdelnaby,"Abdelnaby, Alaa",A. Abdelnaby,1968-06-24T00:00:00,Duke,USA,Duke/USA,6-10,240,4,30,Forward,Active,1610612755,76ers,PHI,sixers,Philadelphia,HISTADD_alaa_abdelnaby,1990,1994,N,Y,Y,1990,1,25,False,Duke,USA,Alaa Abdelnaby,career,5.7,0.3,3.3,0
76002,76002,Zaid,Abdul-Aziz,Zaid Abdul-Aziz,"Abdul-Aziz, Zaid",Z. Abdul-Aziz,1946-04-07T00:00:00,Iowa State,USA,Iowa State/USA,6-9,235,9,54,Center,Active,1610612738,Celtics,BOS,celtics,Boston,HISTADD_zaid_abdul-aziz,1968,1977,N,Y,Y,1968,1,5,False,Iowa State,USA,Zaid Abdul-Aziz,career,9.0,1.2,8.0,0
76003,76003,Kareem,Abdul-Jabbar,Kareem Abdul-Jabbar,"Abdul-Jabbar, Kareem",K. Abdul-Jabbar,1947-04-16T00:00:00,California-Los Angeles,USA,UCLA/USA,7-2,225,19,33,Center,Active,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_kareem_abdul-jabbar,1969,1988,N,Y,Y,1969,1,1,False,UCLA,USA,Kareem Abdul-Jabbar,career,24.6,3.6,11.2,18
51,51,Mahmoud,Abdul-Rauf,Mahmoud Abdul-Rauf,"Abdul-Rauf, Mahmoud",M. Abdul-Rauf,1969-03-09T00:00:00,Louisiana State,USA,Louisiana State/USA,6-1,162,8,1,Guard,Active,1610612763,Grizzlies,VAN,grizzlies,Vancouver,mahmoud_abdul-rauf,1990,2000,N,Y,Y,1990,1,3,False,Louisiana State,USA,Mahmoud Abdul-Rauf,career,14.6,3.5,1.9,0
1505,1505,Tariq,Abdul-Wahad,Tariq Abdul-Wahad,"Abdul-Wahad, Tariq",T. Abdul-Wahad,1974-11-03T00:00:00,San Jose State,France,San Jose State/France,6-6,235,6,9,Forward-Guard,Active,1610612742,Mavericks,DAL,mavericks,Dallas,tariq_abdul-wahad,1997,2003,N,Y,Y,1997,1,11,False,San Jose State,France,Tariq Abdul-Wahad,career,7.8,1.1,3.3,0
949,949,Shareef,Abdur-Rahim,Shareef Abdur-Rahim,"Abdur-Rahim, Shareef",S. Abdur-Rahim,1976-12-11T00:00:00,California,USA,California/USA,6-9,245,12,3,Forward,Active,1610612758,Kings,SAC,kings,Sacramento,shareef_abdur-rahim,1996,2007,N,Y,Y,1996,1,3,False,California,USA,Shareef Abdur-Rahim,career,18.1,2.5,7.5,1
76005,76005,Tom,Abernethy,Tom Abernethy,"Abernethy, Tom",T. Abernethy,1954-05-06T00:00:00,Indiana,USA,Indiana/USA,6-7,220,4,5,Forward,Active,1610612754,Pacers,IND,pacers,Indiana,HISTADD_tom_abernethy,1976,1980,N,Y,Y,1976,3,43,False,Indiana,USA,Tom Abernethy,career,5.6,1.2,3.2,0
76006,76006,Forest,Able,Forest Able,"Able, Forest",F. Able,1932-07-27T00:00:00,Western Kentucky,USA,Western Kentucky; Louisville/USA,6-3,180,0,6,Guard,Active,1610612755,Nationals,PHI,sixers,Syracuse,HISTADD_frosty_able,1956,1956,N,Y,Y,1956,,,False,Western Kentucky; Louisville,USA,Forest Able,career,0.0,1.0,1.0,0
76007,76007,John,Abramovic,John Abramovic,"Abramovic, John",J. Abramovic,1919-02-09T00:00:00,Salem International,USA,Salem (NC)/USA,6-3,195,1,,Forward,Active,1610610024,Bullets,BAL,bullets,Baltimore,HISTADD_brooms_abramovic,1946,1947,N,Y,Y,Undrafted,Undrafted,Undrafted,False,Salem (NC),USA,John Abramovic,career,9.5,0.7,,0
203518,203518,Alex,Abrines,Alex Abrines,"Abrines, Alex",A. Abrines,1993-08-01T00:00:00,,Spain,Spain/Spain,,,2,,,Inactive,0,,,,,alex_abrines,2016,2018,N,Y,Y,2013,2,32,False,Spain,Spain,Alex Abrines,career,5.3,0.5,1.4,0
