Player Name,Years Played,Birth City,Birth State,Birth Country,Playing City,Seasons Played,Games Played,Minutes Played,Field Goals %,3 Points %,Total Rebounds,Total Points
Michael Ansley,3,Birmingham,Alabama,USA,Charlotte,2,149,2143,0.513,,621,6.9
Keith Askins,9,Athens,Alabama,USA,Miami,8,486,7983,0.401,0.355,1428,3.8
Carl Bailey,1,Birmingham,Alabama,USA,Portland,0,1,7,1,,0,2
Charles Barkley,16,Leeds,Alabama,USA,Houston,15,1073,39330,0.541,0.266,12546,22.1
Tom Boswell,6,Montgomery,Alabama,USA,Utah,5,366,7046,0.533,0.545,1709,7.7
Jason Caffey,8,Mobile,Alabama,USA,Milwaukee,8,462,9045,0.481,0,2022,7.3
Bobby Cattage,2,Huntsville,Alabama,USA,New Jersey,1,78,522,0.404,0.143,107,3.1
Derrick Coleman,15,Mobile,Alabama,USA,,14,781,25903,0.447,0.295,7232,16.5
Michael Curry,11,Anniston,Alabama,USA,,10,667,13208,0.447,0.298,1045,4.5
Fennis Dembo,1,Mobile,Alabama,USA,Detroit,0,31,74,0.333,0,23,1.2
John Drew,11,Vredenburgh,Alabama,USA,Utah,10,739,21828,0.47,0.175,5088,20.7
T.R. Dunn,14,Birmingham,Alabama,USA,Denver,13,993,23080,0.457,0.05,4371,5.1
Jim Farmer,5,Dothan,Alabama,USA,Denver,4,136,1454,0.428,0.282,186,5.3
Rod Foster,3,Birmingham,Alabama,USA,Phoenix,2,207,3446,0.44,0.298,258,7.5
Mickell Gladness,1,Birmingham,Alabama,USA,Golden State,1,26,252,0.424,,58,2.2
Orlando Graham,1,Montgomery,Alabama,USA,Golden State,0,7,22,0.3,,11,1.1
Darrin Hancock,3,Birmingham,Alabama,USA,Atlanta,2,133,1395,0.53,0.333,169,3.5
James Hardy,4,Knoxville,Alabama,USA,Utah,3,249,5379,0.481,0.333,1312,5.7
Johnny High,4,Birmingham,Alabama,USA,Phoenix,3,274,4538,0.435,0.105,617,5.1
Cedrick Hordges,2,Montgomery,Alabama,USA,Denver,1,145,2971,0.475,0.188,853,7.6
Robert Horry,16,Andalusia,Alabama,USA,San Antonio,16,1107,27069,0.425,0.341,5269,7
Stanley Jackson,1,Tuskegee,Alabama,USA,Minnesota,0,17,92,0.515,0.2,27,2.2
Henry James,7,Centreville,Alabama,USA,,6,212,2703,0.414,0.378,318,6.1
Buck Johnson,7,Birmingham,Alabama,USA,Washington,6,505,11849,0.488,0.113,1760,9.1
Ken Johnson,1,Tuskegee,Alabama,USA,Portland,0,64,815,0.528,,243,4.1
Nate Johnston,1,Birmingham,Alabama,USA,Portland,0,21,87,0.375,0.25,23,2.2
Edgar Jones,6,Fort Rucker,Alabama,USA,Cleveland,5,363,6960,0.506,0.262,1745,9
Walter Jordan,1,Perry,Alabama,USA,Cleveland,0,30,207,0.387,,42,2.3
Warren Kidd,1,Harpersville,Alabama,USA,Philadelphia,0,68,884,0.592,,233,3.6
Stan Kimbrough,2,Tuscaloosa,Alabama,USA,Sacramento,1,13,65,0.409,0.5,7,1.6
Reggie King,6,Birmingham,Alabama,USA,Seattle,5,438,11345,0.514,0,2707,8.9
Antonio Lang,6,Mobile,Alabama,USA,,5,143,1395,0.455,0,210,2.3
James Lang,1,Mobile,Alabama,USA,,0,11,55,0.444,,11,1
Jeff Malone,13,Mobile,Alabama,USA,,12,905,29660,0.484,0.268,2364,19
Keith Mccord,1,Birmingham,Alabama,USA,Washington,0,2,9,0.5,,2,2
Jamario Moon,5,Goodwater,Alabama,USA,Charlotte,5,286,6451,0.461,0.329,1227,6.3
Pete Myers,9,Mobile,Alabama,USA,,8,377,6039,0.421,0.219,671,4.8
Wiley Peck,1,Montgomery,Alabama,USA,San Antonio,0,52,628,0.432,0,183,3.5
Chuck Person,13,Brantley,Alabama,USA,Seattle,12,943,28941,0.458,0.362,4763,14.7
Wesley Person,11,Crenshaw,Alabama,USA,Denver,11,733,20727,0.457,0.418,2402,11.2
Eddie Phillips,1,Birmingham,Alabama,USA,New Jersey,0,48,416,0.406,0,77,3.2
Stan Pietkiewicz,3,Huntsville,Alabama,USA,Dallas,2,96,1070,0.458,0.333,93,3.9
Chris Porter,1,Abbeville,Alabama, ,Golden State,0,51,1147,0.389,0,189,8.6
Theo Ratliff,16,Demopolis,Alabama,USA,Los Angeles,16,810,20500,0.496,0,4596,7.2
Oliver Robinson,1,Birmingham,Alabama,USA,San Antonio,0,35,147,0.361,0.091,17,2.9
Roy Rogers,3,Linden,Alabama,,,2,137,2309,0.483,0.5,483,4.8
Walter Sharpe,1,Huntsville,Alabama,USA,Detroit,1,8,20,0.364,0,3,1
Erick Strickland,9,Opelika,Alabama,USA,Milwaukee,9,501,10189,0.392,0.351,1317,7.5
Andrew Toney,8,Birmingham,Alabama,USA,Philadelphia,7,468,12608,0.5,0.342,1009,15.9
Ben Wallace,16,White Hall,Alabama,USA,Detroit,16,1088,32085,0.474,0.137,10482,5.7
Gerald Wallace,14,Sylacauga,Alabama,USA,Boston,14,832,24731,0.469,0.312,4838,11.9
Marcus Webb,1,Montgomery,Alabama,USA,Boston,0,9,51,0.52,0,10,4.3
Mario West,4,Huntsville,Alabama,USA,New Jersey,4,162,796,0.448,0.2,142,1
Ennis Whatley,10,Birmingham,Alabama,USA,,9,385,7108,0.468,0.097,679,5.6
Rory White,5,Tuskegee,Alabama,USA,Los Angeles,4,324,5410,0.506,0.077,749,7.4
Mark Alarie,5,Phoenix,Arizona,USA,Washington,4,325,5500,0.475,0.252,1120,7.5
Steve Colter,8,Phoenix,Arizona,USA,Cleveland,7,526,9570,0.448,0.289,1051,6.3
Bryce Cotton,2,Tucson,Arizona,USA,Memphis,2,23,198,0.418,0.304,18,3.8
Sean Elliott,12,Tucson,Arizona,USA,San Antonio,11,742,24502,0.465,0.375,3204,14.2
